,,Column heading (cost center name),,,,1-3*,1-6,10,X
,,Statistical basis,,,,"4, 5*",1-6,10,X
,,,,,,,,,
,,,,,WORKSHEET B,,,,
,,,,,,,,,
,,Total adjustments after cost finding,,,,100,6,11,-9
,,Costs after cost finding and post stepdown,,,,,,,
,,  adjustments by department,,,,"10-11,",,,
,,,,,,"15-25, 30-39,",,,
,,,,,,50-53,7,11,-9
,,Total costs after cost finding and post stepdown adjustments,,,,100,7,11,9
,,,,,,,,,
,,*,Refer to Table 1 for specifications and Table 2 for the worksheet identifier for column headings.  There may be up to five,,,,,,
,,,"type 2 records (3 for cost center name and 2 for the statistical basis) for each column.  However, for any column which has",,,,,,
,,,"less than five type 2 record entries, blank records or the word ""blank"" is not required to maximize each column record count.",,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,WORKSHEET B-1,,,,
,,,,,,,,,
,,For each cost allocation using accumulated costs as the,,,,,,,
,,"  statistic, include a record containing an X.",,,,0,6,1,X
,,All cost allocation statistics,,,,"1-6, 10-11,",,,
,,,,,,"15-25, 30-39,",,,
,,,,,,50-53,1-6*,11,9
,,Reconciliation,,,,"1-6, 10-11,",,,
,,,,,,"15-25, 30-39,",,,
,,,,,,50-53,6A,11,-9
,,,,,,,,,
,,Total cost to be Allocated,,,,100,1-6,11,9
,,,,,,,,,
,,*,"  In each column using accumulated costs as the statistical basis for allocating costs, identify each cost center which is",,,,,,
,,,  to receive no allocation with a negative 1 (-1) placed in the accumulated cost column.  Providers may elect to indicate,,,,,,
,,,"  total accumulated cost as a negative amount in the reconciliation column.  However, there should never be entries in",,,,,,
,,,  both the reconciliation column and accumulated column simultaneously on the same line.  For those cost centers which,,,,,,
,,,"  are to receive partial allocation of costs, provide only the cost to be excluded from the statistic as a negative amount on",,,,,,
,,,  the appropriate line in the reconciliation column. ,,,,,,
,,,"  If line 6 is fragmented, line 6 must be deleted and subscripts of line 6 must be used.",,,,,,
,,,,,,,,,
,,+,  Include any column which uses accumulated cost as it basis for allocation.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,WORKSHEET D,,,,
,,,,,,,,,
,,"Total cost (Worksheet B, line 100, col 7, less line 53, col. 7)",,,,1,4,11,-9
,,"Total Unduplicated Days (Worksheet S-1, line 12, col. 6)",,,,2,4,11,9
,,Average cost per diem (line 1 divided by line 2),,,,3,4,11,9(8).99
,,"Unduplicated Medicare Days (Worksheet S-1, line 12, col.1)",,,,4,1,11,9
,,Average Medicare cost (line 3 times line 4),,,,5,1,11,9
,,"Unduplicated Medicaid Days (Worksheet S-1, line 12, col. 2)",,,,6,2,11,9
,,Average  Medicaid cost (line 3 times line 6),,,,7,2,11,9
,,"Unduplicated SNF days (Worksheet S-1, line 12, col. 3)",,,,8,1,11,9
,,Average SNF cost (line 3 times line 8),,,,9,1,11,9
,,"Unduplicated NF days (Worksheet S-1, line 12, col. 4)",,,,10,2,11,9
,,Average NF cost (line 3 times line 10),,,,11,2,11,9
,,"Other Unduplicated days (Worksheet S-1, line 12, col. 5)",,,,12,3,11,9
,,Average NF cost (line 3 times line 12),,,,13,3,11,9
,,,,,,,,,
,,38-216,,,,,,,Rev. 7
,,09-11,,,FORM CMS-1984-99,,,,3895 (Cont.)
,,ELECTRONIC REPORTING SPECIFICATIONS FOR FORM CMS 1984-99,,,,,,,
,,"TABLE 3 - LIST OF DATA ELEMENTS WITH WORKSHEET, LINE, AND COLUMN DESIGNATIONS",,,,,,,
,,,,,,,,,
,,,,,,,,FIELD,
,,,,DESCRIPTION,,LINE(S),COLUMN(S),SIZE,USAGE
,,,,,,,,,
,,,,,WORKSHEET G,,,,
,,,,,,,,,
,,For the hospice:,,,,,,,
,,Text as needed for blank lines,,,,48,0,36,X
,,Balance sheet accounts,,,,"1-10, 12-26, 28-31,",,,
,,,,,,"34-41, 43-48, 51",1,11,-9
,,For hospices or hospices using fund accounting:,,,,,,,
,,,Specific purpose fund account balances,,,"1-10, 12-26, 28-31,",,,
,,,,,,"34-38,40-41, 43-48,",,,
,,,,,,52,2,11,-9
,,,Endowment fund account balances,,,"1-10, 12-26, 28-31,",,,
,,,,,,"34-38,40-41, 43-48,",,,
,,,,,,53-55,3,11,-9
,,,Plant fund account balances,,,"1-10, 12-26, 28-31,",,,
,,,,,,"34-38,40-41, 43-48,",,,
,,,,,,56-57,4,11,-9
,,Total Assets,,,,33,1-4,11,-9
,,Total Liabilities and Fund Balance,,,,59,1-4,11,-9
,,,,,,,,,
,,NOTE:  Accumulated Depreciation lines will always be positive numbers unless otherwise specified.,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,WORKSHEET G-1,,,,
,,,,,,,,,
,,For hospices using fund accounting:,,,,,,,
,,Text as needed for blank lines,,,,"4-9, 12-17",0,36,X
,,,Beginning fund balances,,,1,1-4,11,-9
,,,Additions and reductions to ,,,,,,
,,,    beginning fund balances,,,"4-9, 12-17",1-4,11,-9
,,,,,,,,,
,,,,,,,,,
,,,,,WORKSHEET G-2,,,,
,,,,,,,,,
,,Part I:,,,,,,,
,,Skilled nursing facility based,,,,1,1,11,9
,,Nursing facility based,,,,2,1,11,9
,,Home care,,,,3,1,11,9
,,Other (see instructions),,,,4,1,11,9
,,State Medicaid room and board,,,,5,1,11,9
,,Total general inpatient revenue,,,,6,1,11,9
,,,,,,,,,
,,Part II:,,,,,,,
,,Text as needed for blank lines,,,,"2-7, 9-13",0,36,X
,,Increases to operating expenses reported on Worksheet A,,,,2-7,1,11,9
,,Decreases to operating expenses reported on Worksheet A,,,,9-13,1,11,9
,,Total operating expenses,,,,15,2,11,9
,,Net income/Loss,,,,16,2,11,-9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Rev. 9,,,,,,,38-217
